Date,close,High,Low,Open,Volume
05-03-2020,71.0855484,72.69450423,70.71910068,71.71650799,187572800
06-03-2020,70.14151001,70.57590749,68.2486168,68.43547696,226176800
09-03-2020,64.5938797,67.48660955,63.82458393,64.0065932,286744800
10-03-2020,69.24602509,69.51297347,65.37044115,67.25606173,285290000
11-03-2020,66.84108734,68.24620108,65.97472138,67.3167436,255598800
12-03-2020,60.2402153,65.52333888,60.18440016,62.11127227,418474000
13-03-2020,67.45748901,67.93071608,61.38565876,64.28325062,370732000
16-03-2020,58.77929306,62.87328366,58.24297074,58.71619414,322423600
17-03-2020,61.36381912,62.5165408,57.85467875,60.06548484,324056000
18-03-2020,59.8616333,60.66975488,57.54404792,58.18714955,300233600
19-03-2020,59.40297699,61.35896952,58.8763639,60.03636945,271857200
20-03-2020,55.63174438,61.113863,55.33082104,59.98540325,401693200
23-03-2020,54.44989014,55.45215567,51.59598622,55.35023092,336752800
24-03-2020,59.91260147,60.1091709,56.85969876,57.35961698,287531200
25-03-2020,59.58255768,62.67186076,59.28648896,60.85176799,303602000
26-03-2020,62.7179718,62.7762124,59.78640855,59.82523808,252087200
27-03-2020,60.12130356,62.09428153,59.95385444,61.33712415,204216800
30-03-2020,61.83703995,62.00934368,60.52414557,60.84933827,167976400
31-03-2020,61.71085358,63.70082103,61.15512019,62.02876624,197002000
01-04-2020,58.46380997,60.35913273,58.03184156,59.82038495,176218400
02-04-2020,59.43936539,59.49275506,57.49065332,58.32546967,165934000
03-04-2020,58.58514786,59.62623931,57.99301041,58.92247157,129880000
06-04-2020,63.695961,63.85127172,60.5192936,60.88816303,201820400
07-04-2020,62.95822906,65.93590598,62.85387884,65.71748889,202887200
08-04-2020,64.5696106,64.88509037,63.39504499,63.76148529,168895200
09-04-2020,65.03556061,65.54033721,64.23715181,65.20786808,161834800
13-04-2020,66.31204224,66.42125076,64.51136065,65.11320728,131022800
14-04-2020,69.66101074,69.95222853,67.47689953,67.95012659,194994800
15-04-2020,69.025177,69.48626556,68.10299989,68.53253899,131154400
16-04-2020,69.5736618,69.94010956,68.52043555,69.74111095,157125200
17-04-2020,68.62965393,69.63677823,67.18813933,69.08832103,215250000
20-04-2020,67.20510864,68.35783415,67.18569758,67.45264602,130015200
21-04-2020,65.12776184,67.28275254,64.41428499,67.04735361,180991600
22-04-2020,67.003685,67.44050431,66.05723821,66.39940915,116862400
23-04-2020,66.74401093,68.37481424,66.70518139,66.94786041,124814400
24-04-2020,68.67087555,68.68058478,67.22208165,67.27062041,126161200
27-04-2020,68.71942902,69.05189813,67.93800219,68.3869525,117087600
28-04-2020,67.60551453,69.36493733,67.51330272,69.18292807,112004800
29-04-2020,69.82604218,70.2968401,68.89415556,69.09800506,137280800
30-04-2020,71.29910278,71.47626116,69.97650639,70.36721611,183064000
01-05-2020,70.1512146,72.5610151,69.36978799,69.4668581,240616800
04-05-2020,71.14378357,71.27240316,69.48385993,70.17549663,133568000
05-05-2020,72.21157837,73.0463949,71.45927182,71.60488074,147751200
06-05-2020,72.956604,73.58999277,72.52948651,72.91534531,142333600
07-05-2020,73.7113266,74.05836324,73.28178738,73.58513617,115215200
08-05-2020,75.46577454,75.51930874,74.04469357,74.37319857,133838400
11-05-2020,76.65326691,77.14966694,74.76254165,74.97181445,145946400
12-05-2020,75.7772522,77.79207365,75.65558422,77.3394649,162301200
13-05-2020,74.86231232,76.88200539,73.78189998,75.95732422,200622400
14-05-2020,75.32221222,75.38304621,73.37308888,74.09823268,158929200
15-05-2020,74.87691498,74.92314941,73.05189506,73.08596567,166348400
18-05-2020,76.64109039,77.01582984,75.51201542,76.20552438,135178400
19-05-2020,76.19822693,77.50736817,76.16659207,76.65812804,101729600
20-05-2020,77.68013,77.75069208,77.0206843,77.05961894,111504800
21-05-2020,77.10099792,78.08407725,76.86252602,77.5414354,102688800
22-05-2020,77.59740448,77.68013781,76.73599314,76.83819008,81803200
26-05-2020,77.07178497,78.8992326,77.01581504,78.7191664,125522000
27-05-2020,77.40759277,77.55359582,76.18604902,76.9282281,112945200
28-05-2020,77.44167328,78.70458757,76.80413422,77.08153337,133560800
29-05-2020,77.36621857,78.14732475,77.00851449,77.68498801,153532400
01-06-2020,78.3176651,78.43933306,77.1885829,77.31998637,80791200
02-06-2020,78.68025208,78.70458716,77.60713955,78.0500128,87642800
03-06-2020,79.11336517,79.3761721,78.42715617,79.00143274,104491200
04-06-2020,78.43204498,79.23505065,78.05730554,78.93575218,87560400
05-06-2020,80.6658783,80.72671229,78.65349239,78.68269152,137250400
08-06-2020,81.14281464,81.17688524,79.64873557,80.36170821,95654400
09-06-2020,83.70513916,84.09934225,80.78997895,80.82161381,147712400
10-06-2020,85.85865021,86.32828678,84.21613265,84.6565701,166651600
11-06-2020,81.73654175,85.42551553,81.63434481,84.99967763,201662400
12-06-2020,82.44221497,84.63223846,81.32773961,83.88276702,200146000
15-06-2020,83.46179199,84.11636627,80.92866396,81.0917023,138808800
16-06-2020,85.67372131,85.94626383,83.88277222,85.52285421,165428800
17-06-2020,85.55449677,86.48160626,85.43282877,86.42077226,114406400
18-06-2020,85.58855438,86.0070925,84.97777879,85.5106851,96820400
19-06-2020,85.09944916,86.76386617,83.98740208,86.29666531,264476000
22-06-2020,87.32597351,87.46954083,85.44741963,85.49365406,135445200
23-06-2020,89.18991852,90.6134352,88.15330508,88.57427891,212155600
24-06-2020,87.61555481,89.73988065,87.24081531,88.81763518,192623200
25-06-2020,88.77869415,88.8176288,87.00964433,87.7712871,137522400
26-06-2020,86.05088806,88.89548574,85.90244928,88.67404915,205256800
29-06-2020,88.03408051,88.12898509,85.47905301,85.95842513,130646000
30-06-2020,88.76895142,89.05609348,87.60094183,87.62040544,140223200
01-07-2020,88.60105896,89.39190088,88.55239622,88.84683067,110737200
02-07-2020,88.60105896,90.14867963,88.48669818,89.51114056,114041600
06-07-2020,90.97115326,91.4407899,90.00267343,90.0343083,118655600
07-07-2020,90.68887329,92.13185365,90.57694084,91.35074735,112424400
08-07-2020,92.80102539,92.83266025,91.58190997,91.66951477,117092000
09-07-2020,93.20012665,93.75006098,92.14891331,93.69652676,125642800
10-07-2020,93.36312103,93.4215267,92.18051206,92.79371589,90257200
13-07-2020,92.93244171,97.29058985,92.71830487,94.67229242,191649200
14-07-2020,94.47032166,94.66255172,91.37508797,92.31192547,170989200
15-07-2020,95.12004089,96.60195624,93.91796046,96.35132046,153198000
16-07-2020,93.9495697,94.80854525,93.34852965,93.98850434,110577600
17-07-2020,93.75979614,94.55793795,93.28528796,94.40220676,92186800
20-07-2020,95.73565674,95.87436001,93.5018346,93.8473749,90318000
21-07-2020,94.41434479,96.60436825,94.16370907,96.5289347,103433200
22-07-2020,94.67958832,95.36336178,94.02744972,94.11504711,89001600
23-07-2020,90.37010956,94.48978556,89.55736835,94.41191627,197004400
24-07-2020,90.14622498,90.49176526,86.76872114,88.56211315,185438800
27-07-2020,92.28273773,92.3752066,90.98819592,91.21206087,121214000
28-07-2020,90.76674652,92.02966072,90.76187505,91.8520228,103625600
29-07-2020,92.50659943,92.69153713,91.21448607,91.25098498,90329200
30-07-2020,93.62594604,93.73057873,91.26802001,91.67682264,158130000
31-07-2020,103.4275131,103.5783802,98.13738458,100.1424778,374336800
03-08-2020,106.033638,108.6616632,105.0164955,105.315794,308151200
04-08-2020,106.7417603,107.8367721,105.4983096,106.2234534,173071600
05-08-2020,107.1286392,107.4498444,105.9946929,106.4619012,121776800
06-08-2020,110.8662796,111.362687,106.8707078,107.4620123,202428800
07-08-2020,108.345665,110.8443556,107.5460843,110.386058,198045600
10-08-2020,109.9204559,110.9418726,107.2608729,109.7961284,212403600
11-08-2020,106.6514359,109.6815537,106.3905951,109.1818185,187902400
12-08-2020,110.1959152,110.4543158,107.5509583,107.7459751,165598000
13-08-2020,112.1461105,113.1529012,111.090562,111.5805515,210082000
14-08-2020,112.0461578,112.1363533,110.2300335,111.9705883,165565200
17-08-2020,111.7536316,113.1967811,111.1246962,113.1724021,119561600
